Baseline Average Throughput,ML Average Throughput,Baseline Sticky Events,ML Sticky Events
91.2,95.6,2,0
93.8,86.8,2,0
90.2,85.8,2,0
95.6,85.6,2,0
95.8,88.6,2,0
85.4,86.8,3,0
92.4,88.4,2,0
88.8,84.6,3,0
91.2,85.8,2,0
94.0,89.6,2,0
87.8,88.8,3,0
88.8,93.2,3,0
90.8,88.2,2,0
